"state","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual"
"Alabama",0.597104213058656,0.485352096972736,13.2406404138848,5.34311325791429,1.74073253760173e-13,39,-682.348113491881,1444.69622698376,1571.51558678529,24018.0945240624,137
"Arizona",0.442878635829198,0.342694530868659,17.3241706674334,4.42064772653947,2.18982631849121e-13,42,-1130.35582160711,2346.71164321422,2501.44378745115,68428.9307636744,228
"California",0.392839100459558,0.37816348568708,23.2121930364223,26.7681529223744,2.92035200280859e-160,44,-8297.20255042797,16684.4051008559,16932.2758457165,958535.705991477,1779
"Colorado",0.510803288279948,0.450571861311413,16.1898853617365,8.48067718114654,5.58775115666087e-32,42,-1553.97504452523,3193.95008905046,3362.80790816718,87283.4252127143,333
"Connecticut",0.388133938640487,0.139563351213185,26.7523395362038,1.56146365769845,0.0411279859437495,40,-616.271367624438,1314.54273524888,1433.96158556405,68706.0163833919,96
"Florida",0.482379051687693,0.444396627152831,22.0402679143087,12.7000595037039,3.92473201538664e-59,44,-2819.63408474969,5729.26816949939,5929.32556137174,284663.218104419,586
"Georgia",0.505825665063165,0.45826428540962,22.2293424325072,10.6352185060187,1.35086627207736e-43,42,-2093.52181228399,4273.04362456798,4451.42776129244,210505.201282189,426
"Idaho",0.620169411966131,0.382775294444963,16.2325616666371,2.61240429393046,0.000295016210655735,41,-415.634005936821,915.268011873642,1026.73434658026,16863.7477287152,64
"Illinois",0.327831085503511,0.281245121132468,20.7175508855386,7.03712137184564,4.35012309189605e-31,43,-2865.75255218405,5819.5051043681,6016.42414390308,260105.450305097,606
"Indiana",0.511285088588486,0.349726440187986,22.3714445529237,3.16470268630264,6.38542950458849e-07,41,-709.692999935922,1503.38599987184,1633.0650459516,60558.2652975295,121
"Iowa",0.659562496059384,0.422987281456584,16.9739516305308,2.78796110220913,0.000160300922707159,42,-402.164517774578,890.329035549156,1002.77921777333,16998.7870033804,59
"Kansas",0.880782428917783,0.64234728675335,37.4135632412438,3.69401263975746,0.00225578666497014,37,-246.537011144782,569.074022289564,645.352683328398,25195.9448593179,18
"Kentucky",0.758893407099423,0.55882623426703,20.55450132424,3.79319303789626,9.66645347079744e-06,40,-359.670026378047,801.340052756095,902.442285620933,19856.9136603446,47
"Louisiana",0.823234291178976,0.735970207077457,14.4371541830689,9.43382721144782,3.74029428485622e-17,40,-462.184784034574,1006.36956806915,1120.31363128672,16466.0822515506,79
"Maine",0.603250210890673,0.352671396716361,9.96406520792204,2.40742703200371,0.00146044586540047,37,-325.97338026543,727.946760530859,824.591962257119,5659.10794166018,57
"Maryland",0.624137709344668,0.338760784958212,37.2224290125774,2.18706439102085,0.00363126803947589,42,-455.824125195657,997.648250391313,1107.91522262443,74817.4979662037,54
"Massachusetts",0.364698286232046,0.330380275343395,17.7039064031748,10.6270228602513,3.27771525502729e-51,42,-3416.90120573763,6919.80241147525,7121.29443219919,237892.081166673,759
"Michigan",0.578058020165212,0.528271355877922,16.4381406797658,11.6106999422489,5.40420022715005e-43,41,-1581.35375364298,3246.70750728595,3412.19469990021,91602.0269936347,339
"Minnesota",0.563465265969757,0.531447512668791,14.8468336567985,17.5985260637497,6.70038926661891e-76,42,-2452.38195638162,4990.76391276324,5179.90349494825,123219.514524649,559
"Missouri",0.61714870345872,0.563757876390038,15.7423589647794,11.5590774172653,5.62431989836056e-41,42,-1380.46538762151,2846.93077524301,3011.06655512143,72859.6285381351,294
